ID,Road,Name,District,RoadClass,Planned,Latitude,Longitude,StartTime,EndTime,MaxImpact,CurrImpact,Type,SubType,DirectionsAffected,WorkEventType,Signing
Tor-RD52026-1652-1-1,Hopedale Ave,Hopedale Ave 14 m North of O'Connor Dr to O'Connor Dr,EAST YORK,Local Road,1,43.692980,-79.352270,1779109200000,1780255800000,Low,None,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD52026-1652-1-2,O'Connor Dr,O'Connor Dr at Hopedale Ave to 5 m West of Hopedale Ave,EAST YORK,Minor Arterial Road,1,43.692860,-79.352230,1779109200000,1780255800000,Low,None,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD1H2026-835-6,Hillholm Rd,Hillholm Rd at Russell Hill Rd to 24 m East of Russell Hill Rd,TORONTO,Unknown,1,43.697610,-79.413050,1778500800000,1781724600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-826-3,Forest Hill Rd,Forest Hill Rd 136 m Southeast of Russell Hill Rd to 5 m East of Spadina Rd,TORONTO,Local Road,1,43.699870,-79.412650,1777896000000,1792697400000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-1,Harvie Ave,Harvie Ave 3 m South of Carrington Ave to Redhill Ave,YORK,Local Road,1,43.691870,-79.456240,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-835-7,Hillholm Rd,Hillholm Rd 24 m East of Russell Hill Rd to 38 m Northwest of Lismore Rd,TORONTO,Local Road,1,43.697610,-79.412750,1778500800000,1781724600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-826-1,Ormsby Cres,Ormsby Cres 27 m East of Spadina Rd to Forest Hill Rd,TORONTO,Local Road,1,43.700620,-79.417360,1777896000000,1792697400000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-6,Harvie Ave,Harvie Ave at Kitchener Ave to 3 m South of Redhill Ave,YORK,Local Road,1,43.689900,-79.455150,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-5,Kitchener Ave,Kitchener Ave 72 m West of Harvie Ave to Harvie Ave,YORK,Local Road,1,43.689740,-79.455870,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-4,Kitchener Ave,Kitchener Ave at Harvie Ave to 72 m West of Harvie Ave,YORK,Local Road,1,43.689900,-79.455150,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-3,Harvie Ave,Harvie Ave 3 m North of Kitchener Ave to Kitchener Ave,YORK,Local Road,1,43.689930,-79.455140,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-710-2,Redhill Ave,Redhill Ave at Harvie Ave to 2 m West of end of road,YORK,Local Road,1,43.691080,-79.455220,1777896000000,1783020600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-835-10,Dunvegan Rd,Dunvegan Rd at Russell Hill Rd to 17 m East of Russell Hill Rd,TORONTO,Unknown,1,43.699110,-79.413660,1778500800000,1781724600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-835-11,Dunvegan Rd,Dunvegan Rd 17 m East of Russell Hill Rd to 18 m Northwest of Larratt St,TORONTO,Local Road,1,43.699140,-79.413460,1778500800000,1781724600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-835-9,Russell Hill Rd,Russell Hill Rd from Hillholm Rd to Dunvegan Rd,TORONTO,Local Road,1,43.697610,-79.413050,1778500800000,1781724600000,Low,None,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
