Current road restrictions
ID,Road,Name,District,Latitude,Longitude,RoadClass,Planned,SeverityOverride,Source,CreatedTime,LastUpdated,StartTime,EndTime,WorkPeriod,Expired,Signing,Notification,WorkEventType,Contractor,PermitType,Description,SpecialEvent,FromRoad,ToRoad,AtRoad,DirectionsAffected,Type,SubType,ScheduleMonday,ScheduleTuesday,ScheduleWednesday,ScheduleThursday,ScheduleFriday,ScheduleSaturday,ScheduleSunday,ScheduleEveryday,URL,GeoPolyline,MaxImpact,CurrImpact
"Tor-RD52026-1652-1-1","Hopedale Ave","Hopedale Ave 14 m North of O'Connor Dr to O'Connor Dr","EAST YORK","43.692980","-79.352270","Local Road","1","0","{"tabledata":[{"Option":"Transportation Services"","1777656821000","1780169406000","1779109200000","1780255800000","Daily","0","","","{"tabledata":[{"Option":"Transportation Services"","TM3 INC","{"tabledata":[{"Option":"Transportation Services"","Toronto-TMC: Installation of a New Set of Traffic Signals at O'Connor & Hopedale","No","O'Connor Dr","O'Connor Dr","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","09:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.352270,43.692980],[-79.352230,43.692860]","Low","None"
"Tor-RD52026-1652-1-2","O'Connor Dr","O'Connor Dr at Hopedale Ave to 5 m West of Hopedale Ave","EAST YORK","43.692860","-79.352230","Minor Arterial Road","1","0","{"tabledata":[{"Option":"Transportation Services"","1777656821000","1780169406000","1779109200000","1780255800000","Daily","0","","","{"tabledata":[{"Option":"Transportation Services"","TM3 INC","{"tabledata":[{"Option":"Transportation Services"","Toronto-TMC: Installation of a New Set of Traffic Signals at O'Connor & Hopedale","No","Hopedale Ave","Hopedale Ave","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","09:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.352230,43.692860],[-79.352290,43.692850]","Low","None"
"Tor-RD1H2026-835-6","Hillholm Rd","Hillholm Rd at Russell Hill Rd to 24 m East of Russell Hill Rd","TORONTO","43.697610","-79.413050","Unknown","1","0","Toronto Hydro","1778010029000","1780169406000","1778500800000","1781724600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles, Anchors and Installing new Overhead wire on the East side of Russell Hill Road; On the North side of Dunvegan Road; On the East North side of Hillholm Road; On the North side of Forest Hill Road

*Permits are getting Extended as we speak, Will Upload new Cut permits once received, And will also require an Amendment Extension once New cut permits are received*","No","Russell Hill Rd","Russell Hill Rd","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.413050,43.697610],[-79.412940,43.697620],[-79.412900,43.697630],[-79.412840,43.697630],[-79.412760,43.697620],[-79.412750,43.697610]","Low","None"
"Tor-RD1H2026-826-3","Forest Hill Rd","Forest Hill Rd 136 m Southeast of Russell Hill Rd to 5 m East of Spadina Rd","TORONTO","43.699870","-79.412650","Local Road","1","0","Toronto Hydro","1778010047000","1780169406000","1777896000000","1792697400000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles, Anchors, Ground rods on the South side of Forest Hill Road & Ormsby Cres, As well as installing new Overhead Wire and removing the Old Poles, Anchors, Overhead Wire","No","Russell Hill Rd","Spadina Rd","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.412650,43.699870],[-79.412930,43.699980],[-79.413950,43.700370],[-79.414020,43.700390],[-79.414060,43.700400],[-79.414100,43.700400],[-79.414180,43.700390],[-79.414180,43.700390],[-79.415500,43.700120],[-79.415500,43.700120],[-79.417280,43.699770]","Low","None"
"Tor-RD1H2026-710-1","Harvie Ave","Harvie Ave 3 m South of Carrington Ave to Redhill Ave","YORK","43.691870","-79.456240","Local Road","1","0","Toronto Hydro","1778010641000","1780169406000","1777896000000","1783020600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles on Harvie Ave , Kitchener Ave, Redhill Ave","No","Carrington Ave","Redhill Ave","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.456240,43.691870],[-79.455930,43.691160],[-79.455910,43.691110],[-79.455870,43.691070],[-79.455820,43.691050],[-79.455760,43.691020],[-79.455720,43.691010],[-79.455660,43.691010],[-79.455560,43.691020],[-79.455220,43.691080]","Low","None"
"Tor-RD1H2026-835-7","Hillholm Rd","Hillholm Rd 24 m East of Russell Hill Rd to 38 m Northwest of Lismore Rd","TORONTO","43.697610","-79.412750","Local Road","1","0","Toronto Hydro","1778010029000","1780169406000","1778500800000","1781724600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles, Anchors and Installing new Overhead wire on the East side of Russell Hill Road; On the North side of Dunvegan Road; On the East North side of Hillholm Road; On the North side of Forest Hill Road

*Permits are getting Extended as we speak, Will Upload new Cut permits once received, And will also require an Amendment Extension once New cut permits are received*","No","Russell Hill Rd","Lismore Rd","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.412750,43.697610],[-79.412710,43.697600],[-79.410660,43.696620]","Low","None"
"Tor-RD1H2026-826-1","Ormsby Cres","Ormsby Cres 27 m East of Spadina Rd to Forest Hill Rd","TORONTO","43.700620","-79.417360","Local Road","1","0","Toronto Hydro","1778010047000","1780169406000","1777896000000","1792697400000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles, Anchors, Ground rods on the South side of Forest Hill Road & Ormsby Cres, As well as installing new Overhead Wire and removing the Old Poles, Anchors, Overhead Wire","No","Spadina Rd","Forest Hill Rd","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.417360,43.700620],[-79.416360,43.700810],[-79.416260,43.700820],[-79.416180,43.700820],[-79.416100,43.700810],[-79.416010,43.700780],[-79.415900,43.700740],[-79.415820,43.700710],[-79.415740,43.700640],[-79.415700,43.700580],[-79.415680,43.700530],[-79.415500,43.700120]","Low","None"
"Tor-RD1H2026-710-6","Harvie Ave","Harvie Ave at Kitchener Ave to 3 m South of Redhill Ave","YORK","43.689900","-79.455150","Local Road","1","0","Toronto Hydro","1778010641000","1780169406000","1777896000000","1783020600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles on Harvie Ave , Kitchener Ave, Redhill Ave","No","Kitchener Ave","Redhill Ave","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.455150,43.689900],[-79.455140,43.689970],[-79.455240,43.690290],[-79.455260,43.690390],[-79.455270,43.690510],[-79.455270,43.690630],[-79.455260,43.690760],[-79.455210,43.691020],[-79.455220,43.691050]","Low","None"
"Tor-RD1H2026-710-5","Kitchener Ave","Kitchener Ave 72 m West of Harvie Ave to Harvie Ave","YORK","43.689740","-79.455870","Local Road","1","0","Toronto Hydro","1778010641000","1780169406000","1777896000000","1783020600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles on Harvie Ave , Kitchener Ave, Redhill Ave","No","Harvie Ave","Harvie Ave","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.455870,43.689740],[-79.455480,43.689830],[-79.455150,43.689900]","Low","None"
"Tor-RD1H2026-710-4","Kitchener Ave","Kitchener Ave at Harvie Ave to 72 m West of Harvie Ave","YORK","43.689900","-79.455150","Local Road","1","0","Toronto Hydro","1778010641000","1780169406000","1777896000000","1783020600000","Daily","0","","","Toronto Hydro","Entera Utility Contractors","Toronto Hydro","Toronto-TMC: Crew will be installing Poles on Harvie Ave , Kitchener Ave, Redhill Ave","No","Harvie Ave","Harvie Ave","","ONE_DIRECTION","CONSTRUCTION","","","","","","","","","08:00-15:30","https://www.toronto.ca/services-payments/streets-parking-transportation/road-restrictions-closures/restrictions-map/","[-79.455150,43.689900],[-79.455480,43.689830],[-79.455870,43.689740]","Low","None"
